485910,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA ELÉCTRICA ,INGENIERÍA ELÉCTRICA ,SIN INSTITUCIÓN
167997,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA MÉDICA,FÍSICA EN APLICACIONES MÉDICAS DE RADIACIÓN NO IONIZANTE,SIN INSTITUCIÓN
272226,CIENCIAS SOCIALES,ECONOMETRÍA,SERIES CRONOLÓGICAS ECONÓMICAS,SIN INSTITUCIÓN
49537,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA ENERGÉTICA,OTRAS,SIN INSTITUCIÓN
393624,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,OTRAS,SIN INSTITUCIÓN
48527,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,LÍPIDOS,SIN INSTITUCIÓN
898885,HUMANIDADES,FILOSOFÍA DE LA CIENCIA,FILOSOFÍA DE LAS MATEMÁTICAS,SIN INSTITUCIÓN
1165276,HUMANIDADES,ANTROPOLOGÍA SOCIAL,OTRAS,CIUDAD DE MÉXICO
50010,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,TRATAMIENTO DIGITAL. IMÁGENES,MÉXICO
315686,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA QUÍMICA,CATÁLISIS,SIN INSTITUCIÓN
44653,BIOLOGÍA Y QUÍMICA,ECOLOGÍA,ECOLOGÍA Y CIENCIAS AMBIENTALES,SIN INSTITUCIÓN
355084,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,ÓPTICA FÍSICA,SIN INSTITUCIÓN
509771,CIENCIAS SOCIALES,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN DE EMPRESAS,SIN INSTITUCIÓN
259947,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGÍA DE LAS TELECOMUNICACIONES,DISPOSITIVOS DE MICROONDAS,SIN INSTITUCIÓN
292970,MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS CLÍNICAS,GERONTOLOGÍA,EXCEPTUADO CONFORME AL ARTÍCULO 28 FRACCIÓN I DEL REGLAMENTO SNII
456762,CIENCIAS SOCIALES,CIENCIAS POLÍTICAS,POLÍTICA GUBERNAMENTAL,SIN INSTITUCIÓN
48004,BIOLOGÍA Y QUÍMICA,BIOLOGÍA DE INSECTOS (ENTOMOLOGÍA),ECOLOGÍA DE LOS INSECTOS,SIN INSTITUCIÓN
98260,BIOLOGÍA Y QUÍMICA,BIOLOGÍA ANIMAL (ZOOLOGÍA),ECOLOGÍA ANIMAL,SIN INSTITUCIÓN
562036,CIENCIAS SOCIALES,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN DE EMPRESAS,CIUDAD DE MÉXICO
624061,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES MATEMÁTICAS,OTRAS,SIN INSTITUCIÓN
659559,HUMANIDADES,LINGÜÍSTICA DIACRÓNICA,LINGÜÍSTICA HISTÓRICA,SIN INSTITUCIÓN
205321,BIOLOGÍA Y QUÍMICA,ECOLOGÍA,ECOLOGÍA Y CIENCIAS AMBIENTALES,MORELOS
85399,MEDICINA Y CIENCIAS DE LA SALUD,OTRAS ESPECIALIDADES MÉDICAS,OTRAS,CIUDAD DE MÉXICO
89518,MEDICINA Y CIENCIAS DE LA SALUD,OTRAS ESPECIALIDADES MÉDICAS,OTRAS,CIUDAD DE MÉXICO
200980,MEDICINA Y CIENCIAS DE LA SALUD,OFTALMOLOGÍA,OFTALMOLOGÍA,CIUDAD DE MÉXICO
280134,MEDICINA Y CIENCIAS DE LA SALUD,OFTALMOLOGÍA,OFTALMOLOGÍA,CIUDAD DE MÉXICO
476291,MEDICINA Y CIENCIAS DE LA SALUD,OFTALMOLOGÍA,OFTALMOLOGÍA,CIUDAD DE MÉXICO
488932,MEDICINA Y CIENCIAS DE LA SALUD,OFTALMOLOGÍA,OFTALMOLOGÍA,CIUDAD DE MÉXICO
14580,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,"OTRAS ESPECIALIDADES DE LA TIERRA, ESPACIO O ENTORNO",OTRAS,SIN INSTITUCIÓN
747132,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA QUÍMICA,PROCESOS,SIN INSTITUCIÓN
204083,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA MECÁNICA,DISEÑO,SIN INSTITUCIÓN
848335,CIENCIAS SOCIALES,DERECHO Y LEGISLACIÓN NACIONALES,DERECHO PÚBLICO,SIN INSTITUCIÓN
31207,CIENCIAS SOCIALES,POLÍTICA FISCAL Y HACIENDA PÚBLICA NACIONALES,OTRAS,CIUDAD DE MÉXICO
36341,CIENCIAS SOCIALES,OTRAS ESPECIALIDADES ECONÓMICAS,OTRAS,JALISCO
39254,CIENCIAS SOCIALES,OTRAS ESPECIALIDADES ECONÓMICAS,DESARROLLO SUSTENTABLE,CIUDAD DE MÉXICO
40794,CIENCIAS SOCIALES,TEORÍA ECONÓMICA,TEORÍA MONETARIA,CIUDAD DE MÉXICO
88556,CIENCIAS SOCIALES,ECONOMETRÍA,MODELOS ECONOMÉTRICOS,CIUDAD DE MÉXICO
220797,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÁLGEBRA,MATEMÁTICAS APLICADAS,CIUDAD DE MÉXICO
508968,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,PROBABILIDAD,APLICACIÓN DE LA PROBABILIDAD,CIUDAD DE MÉXICO
512277,CIENCIAS SOCIALES,OTRAS ESPECIALIDADES ECONÓMICAS,ECONOMÍA AMBIENTAL,YUCATÁN
1048587,CIENCIAS SOCIALES,ECONOMÍA GENERAL,OTRAS,CIUDAD DE MÉXICO
177721,CIENCIAS SOCIALES,ACTIVIDAD ECONÓMICA,REDISTRIBUCIÓN,SIN INSTITUCIÓN
341378,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGÍA DE LOS ORDENADORES,INTELIGENCIA ARTIFICIAL,SIN INSTITUCIÓN
625831,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES MATEMÁTICAS,OTRAS,SIN INSTITUCIÓN
97780,CIENCIAS DE LA CONDUCTA Y LA EDUCACIÓN,OTRAS ESPECIALIDADES PEDAGÓGICAS,OTRAS,CIUDAD DE MÉXICO
886109,CIENCIAS DE LA CONDUCTA Y LA EDUCACIÓN,PREPARACIÓN Y EMPLEO DE PROFESORES,PREPARACIÓN DE PROFESORES,VERACRUZ DE IGNACIO DE LA LLAVE
432,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES EN MATERIA DE FISICA,FISICA TEORICA,PUEBLA
457,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,OTRAS,PUEBLA
608,MEDICINA Y CIENCIAS DE LA SALUD,NEUROCIENCIAS,OTRAS,PUEBLA
659,BIOLOGÍA Y QUÍMICA,QUIMICA ORGANICA,COMPUESTOS HETEROCICLICOS,PUEBLA
2056,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA MOLECULAR,ESTRUCTURA MOLECULAR,PUEBLA
2130,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA DE LOS FLUIDOS,DISPERSIONES,PUEBLA
2131,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA DEL ESTADO SOLIDO,PROPIEDADES DE TRANSPORTE ELECTRONICO,PUEBLA
2684,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,OTRAS,PUEBLA
3187,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA DEL ESTADO SOLIDO,PROPIEDADES OPTICAS,PUEBLA
3997,CIENCIAS SOCIALES,RELACIONES INTERNACIONALES,PROBLEMAS DE LAS RELACIONES INTERNACIONALES,PUEBLA
4152,CIENCIAS SOCIALES,PROBLEMAS SOCIALES,CONFLICTO SOCIAL Y ADAPTACIÓN,PUEBLA
4382,BIOLOGÍA Y QUÍMICA,QUÍMICA GENERAL,OTRAS,PUEBLA
4525,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,ESTEROIDES,PUEBLA
4556,BIOLOGÍA Y QUÍMICA,QUIMICA FISICA,INGENIERIA QUIMICA,PUEBLA
4804,HUMANIDADES,HISTORIA DE LOS PAISES,HISTORIA REGIONAL,PUEBLA
4818,CIENCIAS SOCIALES,DERECHO,OTRAS,PUEBLA
5242,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA Y TECNOLOGÍA ELÉCTRICAS,SEMICONDUCTORES,PUEBLA
5291,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES EN MATERIA DE FISICA,OTROS,PUEBLA
